BarLogIndex,LogDetails
188,DEBUG: Confirmed CUS at Bar 184; DEBUG: New CONFIRMED CONTAINMENT established by CUS 184 (L:5521.0) and prior CDS 182 (H:5573.75). Active: True; Info: prev_bar 187 (H:5583.0) not set as PDS. Existing PDS is 186 (H:5597.5). prev_bar.h is not > existing PDS.H.; 📈 Confirmed Uptrend Start from Bar 184 (2025-04-29 10:00:00+00:00) (Rule: LowUndercutHighRespect)
189,DEBUG: Confirmed CDS at Bar 186; DEBUG: New CONFIRMED CONTAINMENT established by CDS 186 (H:5597.5) and prior CUS 184 (L:5521.0). Active: True; ⏳U Pending Uptrend Start on Bar 188 (2025-04-30 02:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 186 (2025-04-29 18:00:00+00:00) (Rule: A)
190,DEBUG: Checking immediate CDS confirmation for newly set PDS 189; DEBUG: Confirmed CDS at Bar 189; DEBUG: Confirmed CUS at Bar 188; DEBUG: Immediate CDS confirmation triggered for PDS 189; DEBUG: New CONFIRMED CONTAINMENT established by CDS 189 (H:5582.25) and prior CUS 188 (L:5548.5). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 188 (L:5548.5) and prior CDS 186 (H:5597.5). Active: True; Pending Downtrend Start on Bar 188 (2025-04-30 02:00:00+00:00); Signal for Pending Downtrend Start on Bar 189 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 188 (2025-04-30 02:00:00+00:00) (Post-CUS of 188 by rule LOWER_OHLC); ⏳D Pending Downtrend Start on Bar 189 (2025-04-30 06:00:00+00:00) (general PDS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 188 (2025-04-30 02:00:00+00:00) (Rule: LOWER_OHLC); 📉 Confirmed Downtrend Start from Bar 189 (2025-04-30 06:00:00+00:00) (Rule: G)
191,DEBUG: Checking immediate CDS confirmation for newly set PDS 190; Signal for Pending Downtrend Start on Bar 190 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 190 (2025-04-30 10:00:00+00:00) (general PDS rule on prev_bar)
192,DEBUG: Confirmed CDS at Bar 190; DEBUG: New CONFIRMED CONTAINMENT established by CDS 190 (H:5580.0) and prior CUS 188 (L:5548.5). Active: True; ⏳U Pending Uptrend Start on Bar 191 (2025-04-30 14:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 190 (2025-04-30 10:00:00+00:00) (Rule: HighBreakoutAbovePDS)
193,➖ Neutral
194,➖ Neutral
195,➖ Neutral
196,DEBUG: Confirmed CUS at Bar 191; DEBUG: New CONFIRMED CONTAINMENT established by CUS 191 (L:5456.5) and prior CDS 190 (H:5580.0). Active: True; Pending Downtrend Start on Bar 196 (2025-05-01 10:00:00+00:00); Pending Downtrend Start on Bar 196 (2025-05-01 10:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 196 (2025-05-01 10:00:00+00:00) (Post-CUS of 191 by rule HigherHighLowerLowDownClose); 📈 Confirmed Uptrend Start from Bar 191 (2025-04-30 14:00:00+00:00) (Rule: HigherHighLowerLowDownClose)
197,DEBUG: Confirmed CDS at Bar 196; DEBUG: New CONFIRMED CONTAINMENT established by CDS 196 (H:5662.5) and prior CUS 191 (L:5456.5). Active: True; ⏳U Pending Uptrend Start on Bar 196 (2025-05-01 10:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 196 (2025-05-01 10:00:00+00:00) (Rule: HighBreakoutAbovePDS)
198,DEBUG: Checking immediate CDS confirmation for newly set PDS 197; DEBUG: Confirmed CDS at Bar 197; DEBUG: Confirmed CUS at Bar 196; DEBUG: Immediate CDS confirmation triggered for PDS 197; DEBUG: New CONFIRMED CONTAINMENT established by CDS 197 (H:5675.5) and prior CUS 196 (L:5626.75). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 196 (L:5626.75) and prior CDS 196 (H:5662.5). Active: True; Pending Downtrend Start on Bar 196 (2025-05-01 10:00:00+00:00); Signal for Pending Downtrend Start on Bar 197 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 196 (2025-05-01 10:00:00+00:00) (Post-CUS of 196 by rule LOWER_OHLC); ⏳D Pending Downtrend Start on Bar 197 (2025-05-01 14:00:00+00:00) (general PDS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 196 (2025-05-01 10:00:00+00:00) (Rule: LOWER_OHLC); 📉 Confirmed Downtrend Start from Bar 197 (2025-05-01 14:00:00+00:00) (Rule: G)
199,➖ Neutral
200,Pending Downtrend Start on Bar 200 (2025-05-02 02:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 200 (2025-05-02 02:00:00+00:00) (by Rule C: HH & Down Close)
201,Info: prev_bar 200 (H:5675.0) not set as PDS. Existing PDS is 200 (H:5675.0). prev_bar.h is not > existing PDS.H.
202,DEBUG: Confirmed CDS at Bar 200; DEBUG: New CONFIRMED CONTAINMENT established by CDS 200 (H:5675.0) and prior CUS 196 (L:5626.75). Active: True; ⏳U Pending Uptrend Start on Bar 201 (2025-05-02 06:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 200 (2025-05-02 02:00:00+00:00) (Rule: A)
203,➖ Neutral
204,Pending Downtrend Start on Bar 204 (2025-05-02 18:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 204 (2025-05-02 18:00:00+00:00) (by Rule C: HH & Down Close)
205,Info: prev_bar 204 (H:5724.5) not set as PDS. Existing PDS is 204 (H:5724.5). prev_bar.h is not > existing PDS.H.
206,DEBUG: Confirmed CUS at Bar 201; DEBUG: New CONFIRMED CONTAINMENT established by CUS 201 (L:5633.5) and prior CDS 200 (H:5675.0). Active: True; Info: prev_bar 205 (H:5707.0) not set as PDS. Existing PDS is 204 (H:5724.5). prev_bar.h is not > existing PDS.H.; ⏳U Pending Uptrend Start on Bar 205 (2025-05-04 22:00:00+00:00) (general PUS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 201 (2025-05-02 06:00:00+00:00) (Rule: LowUndercutHighRespect)
207,DEBUG: Confirmed CDS at Bar 204; DEBUG: Confirmed CUS at Bar 205; DEBUG: New CONFIRMED CONTAINMENT established by CDS 204 (H:5724.5) and prior CUS 205 (L:5660.25). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 205 (L:5660.25) and prior CDS 200 (H:5675.0). Active: True; Pending Downtrend Start on Bar 207 (2025-05-05 06:00:00+00:00); Pending Downtrend Start on Bar 207 (2025-05-05 06:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 207 (2025-05-05 06:00:00+00:00) (by Rule C: HH & Down Close); 📈 Confirmed Uptrend Start from Bar 205 (2025-05-04 22:00:00+00:00) (Rule: HigherHighLowerLowDownClose); 📉 Confirmed Downtrend Start from Bar 204 (2025-05-02 18:00:00+00:00) (Rule: F)
208,"Info: prev_bar 207 (H:5680.25) not set as PDS. Existing PDS is 207 (H:5680.25). prev_bar.h is not > existing PDS.H.; ⏳U Pending Uptrend Start on Bar 207 (2025-05-05 06:00:00+00:00) (general PUS rule on prev_bar); 🧱 Containment START: Bar 208 inside Bar 207 (PENDING_DOWNTREND_HIGH H:5680.25, L:5655.25)."
209,Containment ENDED: Bar 209 💨 BREAKOUT above Bar 207 range (was 1 bar(s) inside).; DEBUG: Confirmed CDS at Bar 207; DEBUG: New CONFIRMED CONTAINMENT established by CDS 207 (H:5680.25) and prior CUS 205 (L:5660.25). Active: True; ⏳U Pending Uptrend Start on Bar 208 (2025-05-05 10:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 207 (2025-05-05 06:00:00+00:00) (Rule: B)
210,Pending Downtrend Start on Bar 210 (2025-05-05 18:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 210 (2025-05-05 18:00:00+00:00) (by Rule C: HH & Down Close)
211,Info: prev_bar 210 (H:5706.0) not set as PDS. Existing PDS is 210 (H:5706.0). prev_bar.h is not > existing PDS.H.
212,Info: prev_bar 211 (H:5673.5) not set as PDS. Existing PDS is 210 (H:5706.0). prev_bar.h is not > existing PDS.H.
213,Info: prev_bar 212 (H:5663.5) not set as PDS. Existing PDS is 210 (H:5706.0). prev_bar.h is not > existing PDS.H.
214,Info: prev_bar 213 (H:5660.75) not set as PDS. Existing PDS is 210 (H:5706.0). prev_bar.h is not > existing PDS.H.
215,DEBUG: Confirmed CDS at Bar 210; DEBUG: Confirmed CUS at Bar 208; DEBUG: New CONFIRMED CONTAINMENT established by CDS 210 (H:5706.0) and prior CUS 208 (L:5655.25). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 208 (L:5655.25) and prior CDS 207 (H:5680.25). Active: True; ⏳U Pending Uptrend Start on Bar 214 (2025-05-06 10:00:00+00:00) (general PUS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 208 (2025-05-05 10:00:00+00:00) (Rule: LowUndercutHighRespect); 📉 Confirmed Downtrend Start from Bar 210 (2025-05-05 18:00:00+00:00) (Rule: A)
216,DEBUG: Checking immediate CDS confirmation for newly set PDS 215; DEBUG: Confirmed CDS at Bar 215; DEBUG: Confirmed CUS at Bar 214; DEBUG: Immediate CDS confirmation triggered for PDS 215; DEBUG: New CONFIRMED CONTAINMENT established by CDS 215 (H:5671.75) and prior CUS 214 (L:5607.0). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 214 (L:5607.0) and prior CDS 210 (H:5706.0). Active: True; Pending Downtrend Start on Bar 214 (2025-05-06 10:00:00+00:00); Signal for Pending Downtrend Start on Bar 215 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 214 (2025-05-06 10:00:00+00:00) (Post-CUS of 214 by rule LOWER_OHLC); ⏳D Pending Downtrend Start on Bar 215 (2025-05-06 14:00:00+00:00) (general PDS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 214 (2025-05-06 10:00:00+00:00) (Rule: LOWER_OHLC); 📉 Confirmed Downtrend Start from Bar 215 (2025-05-06 14:00:00+00:00) (Rule: G)
217,⏳U Pending Uptrend Start on Bar 216 (2025-05-06 18:00:00+00:00) (general PUS rule on prev_bar)
218,DEBUG: Checking immediate CDS confirmation for newly set PDS 217; DEBUG: Confirmed CDS at Bar 217; DEBUG: Immediate CDS confirmation triggered for PDS 217; DEBUG: New CONFIRMED CONTAINMENT established by CDS 217 (H:5690.75) and prior CUS 214 (L:5607.0). Active: True; Signal for Pending Downtrend Start on Bar 217 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 217 (2025-05-06 22:00:00+00:00) (general PDS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 217 (2025-05-06 22:00:00+00:00) (Rule: G)
219,DEBUG: Checking immediate CDS confirmation for newly set PDS 218; Signal for Pending Downtrend Start on Bar 218 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 218 (2025-05-07 02:00:00+00:00) (general PDS rule on prev_bar)
220,DEBUG: Confirmed CDS at Bar 218; DEBUG: Confirmed CUS at Bar 216; DEBUG: New CONFIRMED CONTAINMENT established by CDS 218 (H:5670.0) and prior CUS 216 (L:5605.0). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 216 (L:5605.0) and prior CDS 217 (H:5690.75). Active: True; Pending Downtrend Start on Bar 220 (2025-05-07 10:00:00+00:00); Pending Downtrend Start on Bar 220 (2025-05-07 10:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 220 (2025-05-07 10:00:00+00:00) (by Rule C: HH & Down Close); 📈 Confirmed Uptrend Start from Bar 216 (2025-05-06 18:00:00+00:00) (Rule: HigherHighLowerLowDownClose); 📉 Confirmed Downtrend Start from Bar 218 (2025-05-07 02:00:00+00:00) (Rule: F)
221,Info: prev_bar 220 (H:5667.25) not set as PDS. Existing PDS is 220 (H:5667.25). prev_bar.h is not > existing PDS.H.
222,DEBUG: Confirmed CDS at Bar 220; DEBUG: New CONFIRMED CONTAINMENT established by CDS 220 (H:5667.25) and prior CUS 216 (L:5605.0). Active: True; 📉 Confirmed Downtrend Start from Bar 220 (2025-05-07 10:00:00+00:00) (Rule: LowThenHigherClose_vs_PDSOpen)
223,⏳U Pending Uptrend Start on Bar 222 (2025-05-07 18:00:00+00:00) (general PUS rule on prev_bar)
224,➖ Neutral
225,➖ Neutral
226,DEBUG: Confirmed CUS at Bar 222; DEBUG: New CONFIRMED CONTAINMENT established by CUS 222 (L:5596.0) and prior CDS 220 (H:5667.25). Active: True; Pending Downtrend Start on Bar 226 (2025-05-08 10:00:00+00:00); Pending Downtrend Start on Bar 226 (2025-05-08 10:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 226 (2025-05-08 10:00:00+00:00) (Post-CUS of 222 by rule HigherHighLowerLowDownClose); 📈 Confirmed Uptrend Start from Bar 222 (2025-05-07 18:00:00+00:00) (Rule: HigherHighLowerLowDownClose)
227,DEBUG: Confirmed CDS at Bar 226; DEBUG: New CONFIRMED CONTAINMENT established by CDS 226 (H:5717.75) and prior CUS 222 (L:5596.0). Active: True; 📉 Confirmed Downtrend Start from Bar 226 (2025-05-08 10:00:00+00:00) (Rule: LowThenHigherClose_vs_PDSOpen)
228,DEBUG: Checking immediate CDS confirmation for newly set PDS 227; DEBUG: Confirmed CDS at Bar 227; DEBUG: Immediate CDS confirmation triggered for PDS 227; DEBUG: New CONFIRMED CONTAINMENT established by CDS 227 (H:5741.0) and prior CUS 222 (L:5596.0). Active: True; Signal for Pending Downtrend Start on Bar 227 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 227 (2025-05-08 14:00:00+00:00) (general PDS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 227 (2025-05-08 14:00:00+00:00) (Rule: LowThenHigherClose_vs_PDSOpen)
229,DEBUG: Checking immediate CDS confirmation for newly set PDS 228; Signal for Pending Downtrend Start on Bar 228 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 228 (2025-05-08 18:00:00+00:00) (general PDS rule on prev_bar)
230,DEBUG: Confirmed CDS at Bar 228; DEBUG: New CONFIRMED CONTAINMENT established by CDS 228 (H:5732.0) and prior CUS 222 (L:5596.0). Active: True; ⏳U Pending Uptrend Start on Bar 229 (2025-05-08 22:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 228 (2025-05-08 18:00:00+00:00) (Rule: A)
231,➖ Neutral
232,➖ Neutral
233,DEBUG: Checking immediate CDS confirmation for newly set PDS 232; DEBUG: Confirmed CDS at Bar 232; DEBUG: Confirmed CUS at Bar 229; DEBUG: Immediate CDS confirmation triggered for PDS 232; DEBUG: New CONFIRMED CONTAINMENT established by CDS 232 (H:5715.75) and prior CUS 229 (L:5665.25). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 229 (L:5665.25) and prior CDS 228 (H:5732.0). Active: True; Pending Downtrend Start on Bar 229 (2025-05-08 22:00:00+00:00); Signal for Pending Downtrend Start on Bar 232 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 229 (2025-05-08 22:00:00+00:00) (Post-CUS of 229 by rule LOWER_OHLC); ⏳D Pending Downtrend Start on Bar 232 (2025-05-09 10:00:00+00:00) (general PDS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 229 (2025-05-08 22:00:00+00:00) (Rule: LOWER_OHLC); 📉 Confirmed Downtrend Start from Bar 232 (2025-05-09 10:00:00+00:00) (Rule: LowThenHigherClose_vs_PDSOpen)
234,DEBUG: Checking immediate CDS confirmation for newly set PDS 233; Signal for Pending Downtrend Start on Bar 233 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 233 (2025-05-09 14:00:00+00:00) (general PDS rule on prev_bar)
235,DEBUG: Confirmed CDS at Bar 233; DEBUG: New CONFIRMED CONTAINMENT established by CDS 233 (H:5708.5) and prior CUS 229 (L:5665.25). Active: True; ⏳U Pending Uptrend Start on Bar 234 (2025-05-09 18:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 233 (2025-05-09 14:00:00+00:00) (Rule: HighBreakoutAbovePDS)
236,DEBUG: Checking immediate CDS confirmation for newly set PDS 235; DEBUG: Confirmed CDS at Bar 235; DEBUG: Immediate CDS confirmation triggered for PDS 235; DEBUG: New CONFIRMED CONTAINMENT established by CDS 235 (H:5773.5) and prior CUS 229 (L:5665.25). Active: True; Signal for Pending Downtrend Start on Bar 235 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 235 (2025-05-11 22:00:00+00:00) (general PDS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 235 (2025-05-11 22:00:00+00:00) (Rule: G)
237,➖ Neutral
238,Pending Downtrend Start on Bar 238 (2025-05-12 10:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 238 (2025-05-12 10:00:00+00:00) (by Rule C: HH & Down Close)
239,DEBUG: Confirmed CUS at Bar 234; DEBUG: New CONFIRMED CONTAINMENT established by CUS 234 (L:5674.0) and prior CDS 235 (H:5773.5). Active: True; Info: prev_bar 238 (H:5865.5) not set as PDS. Existing PDS is 238 (H:5865.5). prev_bar.h is not > existing PDS.H.; 📈 Confirmed Uptrend Start from Bar 234 (2025-05-09 18:00:00+00:00) (Rule: LowUndercutHighRespect)
240,DEBUG: Confirmed CDS at Bar 238; DEBUG: New CONFIRMED CONTAINMENT established by CDS 238 (H:5865.5) and prior CUS 234 (L:5674.0). Active: True; ⏳U Pending Uptrend Start on Bar 239 (2025-05-12 14:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 238 (2025-05-12 10:00:00+00:00) (Rule: B)
241,DEBUG: Checking immediate CDS confirmation for newly set PDS 240; DEBUG: Confirmed CDS at Bar 240; DEBUG: Immediate CDS confirmation triggered for PDS 240; DEBUG: New CONFIRMED CONTAINMENT established by CDS 240 (H:5876.25) and prior CUS 234 (L:5674.0). Active: True; Signal for Pending Downtrend Start on Bar 240 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 240 (2025-05-12 18:00:00+00:00) (general PDS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 240 (2025-05-12 18:00:00+00:00) (Rule: G)
242,"DEBUG: Checking immediate CDS confirmation for newly set PDS 241; DEBUG: Confirmed CUS at Bar 239; DEBUG: New CONFIRMED CONTAINMENT established by CUS 239 (L:5805.75) and prior CDS 240 (H:5876.25). Active: True; Pending Downtrend Start on Bar 239 (due to trigger by 242); Signal for Pending Downtrend Start on Bar 241 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 239 (2025-05-12 14:00:00+00:00) (Post-CUS of 239 by rule LOWER_OHLC, trigger by 242); ⏳D Pending Downtrend Start on Bar 241 (2025-05-12 22:00:00+00:00) (general PDS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 239 (2025-05-12 14:00:00+00:00) (Rule: LOWER_OHLC); 🧱 Containment START: Bar 242 inside Bar 239 (PENDING_UPTREND_LOW H:5860.75, L:5805.75)."
243,"Info: prev_bar 242 (H:5854.5) not set as PDS. Existing PDS is 241 (H:5870.0). prev_bar.h is not > existing PDS.H.; ⏳U Pending Uptrend Start on Bar 242 (2025-05-13 02:00:00+00:00) (general PUS rule on prev_bar); 🧱 Containment: Bar 243 inside Bar 239 (PENDING_UPTREND_LOW H:5860.75, L:5805.75) for 2 bars."
244,Containment ENDED: Bar 244 💨 BREAKOUT above Bar 239 range (was 2 bar(s) inside).; DEBUG: Confirmed CDS at Bar 241; DEBUG: New CONFIRMED CONTAINMENT established by CDS 241 (H:5870.0) and prior CUS 239 (L:5805.75). Active: True; ⏳U Pending Uptrend Start on Bar 243 (2025-05-13 06:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 241 (2025-05-12 22:00:00+00:00) (Rule: A)
245,➖ Neutral
246,DEBUG: Checking immediate CDS confirmation for newly set PDS 245; DEBUG: Confirmed CDS at Bar 245; DEBUG: Immediate CDS confirmation triggered for PDS 245; DEBUG: New CONFIRMED CONTAINMENT established by CDS 245 (H:5926.75) and prior CUS 239 (L:5805.75). Active: True; Signal for Pending Downtrend Start on Bar 245 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 245 (2025-05-13 14:00:00+00:00) (general PDS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 245 (2025-05-13 14:00:00+00:00) (Rule: G)
247,DEBUG: Checking immediate CDS confirmation for newly set PDS 246; Signal for Pending Downtrend Start on Bar 246 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 246 (2025-05-13 18:00:00+00:00) (general PDS rule on prev_bar)
248,DEBUG: Confirmed CDS at Bar 246; DEBUG: Confirmed CUS at Bar 243; DEBUG: New CONFIRMED CONTAINMENT established by CDS 246 (H:5926.75) and prior CUS 243 (L:5837.75). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 243 (L:5837.75) and prior CDS 245 (H:5926.75). Active: True; ⏳U Pending Uptrend Start on Bar 247 (2025-05-13 22:00:00+00:00) (general PUS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 243 (2025-05-13 06:00:00+00:00) (Rule: LowUndercutHighRespect); 📉 Confirmed Downtrend Start from Bar 246 (2025-05-13 18:00:00+00:00) (Rule: A)
249,DEBUG: Confirmed CUS at Bar 247; DEBUG: New CONFIRMED CONTAINMENT established by CUS 247 (L:5898.5) and prior CDS 246 (H:5926.75). Active: True; Pending Downtrend Start on Bar 249 (2025-05-14 06:00:00+00:00); Pending Downtrend Start on Bar 249 (2025-05-14 06:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 249 (2025-05-14 06:00:00+00:00) (Post-CUS of 247 by rule HigherHighLowerLowDownClose); 📈 Confirmed Uptrend Start from Bar 247 (2025-05-13 22:00:00+00:00) (Rule: HigherHighLowerLowDownClose)
250,DEBUG: Confirmed CDS at Bar 249; DEBUG: New CONFIRMED CONTAINMENT established by CDS 249 (H:5917.5) and prior CUS 247 (L:5898.5). Active: True; ⏳U Pending Uptrend Start on Bar 249 (2025-05-14 06:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 249 (2025-05-14 06:00:00+00:00) (Rule: HighBreakoutAbovePDS)
251,DEBUG: Checking immediate CDS confirmation for newly set PDS 250; DEBUG: Confirmed CUS at Bar 249; DEBUG: New CONFIRMED CONTAINMENT established by CUS 249 (L:5896.25) and prior CDS 249 (H:5917.5). Active: True; Pending Downtrend Start on Bar 249 (2025-05-14 06:00:00+00:00); Signal for Pending Downtrend Start on Bar 250 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 249 (2025-05-14 06:00:00+00:00) (Post-CUS of 249 by rule LOWER_OHLC); ⏳D Pending Downtrend Start on Bar 250 (2025-05-14 10:00:00+00:00) (general PDS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 249 (2025-05-14 06:00:00+00:00) (Rule: LOWER_OHLC)
252,"Info: prev_bar 251 (H:5921.0) not set as PDS. Existing PDS is 250 (H:5925.0). prev_bar.h is not > existing PDS.H.; ⏳U Pending Uptrend Start on Bar 251 (2025-05-14 14:00:00+00:00) (general PUS rule on prev_bar); 🧱 Containment START: Bar 252 inside Bar 250 (PENDING_DOWNTREND_HIGH H:5925.0, L:5896.25)."
253,Containment ENDED: Bar 253 moves outside Bar 250 range (was 1 bar(s) inside).; Info: prev_bar 252 (H:5917.5) not set as PDS. Existing PDS is 250 (H:5925.0). prev_bar.h is not > existing PDS.H.
254,Info: prev_bar 253 (H:5904.25) not set as PDS. Existing PDS is 250 (H:5925.0). prev_bar.h is not > existing PDS.H.
255,Info: prev_bar 254 (H:5903.25) not set as PDS. Existing PDS is 250 (H:5925.0). prev_bar.h is not > existing PDS.H.
256,DEBUG: Confirmed CDS at Bar 250; DEBUG: New CONFIRMED CONTAINMENT established by CDS 250 (H:5925.0) and prior CUS 249 (L:5896.25). Active: True; ⏳U Pending Uptrend Start on Bar 255 (2025-05-15 06:00:00+00:00) (general PUS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 250 (2025-05-14 10:00:00+00:00) (Rule: A)
257,➖ Neutral
258,DEBUG: Checking immediate CDS confirmation for newly set PDS 257; DEBUG: Confirmed CDS at Bar 257; DEBUG: Immediate CDS confirmation triggered for PDS 257; DEBUG: New CONFIRMED CONTAINMENT established by CDS 257 (H:5944.5) and prior CUS 249 (L:5896.25). Active: True; Signal for Pending Downtrend Start on Bar 257 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 257 (2025-05-15 14:00:00+00:00) (general PDS rule on prev_bar); 📉 Confirmed Downtrend Start from Bar 257 (2025-05-15 14:00:00+00:00) (Rule: G)
259,DEBUG: Checking immediate CDS confirmation for newly set PDS 258; Signal for Pending Downtrend Start on Bar 258 (general PDS rule on prev_bar); ⏳D Pending Downtrend Start on Bar 258 (2025-05-15 18:00:00+00:00) (general PDS rule on prev_bar)
260,"Info: prev_bar 259 (H:5940.25) not set as PDS. Existing PDS is 258 (H:5941.5). prev_bar.h is not > existing PDS.H.; 🧱 Containment START: Bar 260 inside Bar 258 (PENDING_DOWNTREND_HIGH H:5941.5, L:5917.5)."
261,Containment ENDED: Bar 261 💨 BREAKOUT above Bar 258 range (was 1 bar(s) inside).; DEBUG: Confirmed CDS at Bar 258; DEBUG: Confirmed CUS at Bar 255; DEBUG: New CONFIRMED CONTAINMENT established by CDS 258 (H:5941.5) and prior CUS 255 (L:5867.0). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 255 (L:5867.0) and prior CDS 257 (H:5944.5). Active: True; ⏳U Pending Uptrend Start on Bar 260 (2025-05-16 02:00:00+00:00) (general PUS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 255 (2025-05-15 06:00:00+00:00) (Rule: HighBreakoutAfterPUSAndInterveningPDS); 📉 Confirmed Downtrend Start from Bar 258 (2025-05-15 18:00:00+00:00) (Rule: HighBreakoutAbovePDS)
262,➖ Neutral
263,➖ Neutral
264,Pending Downtrend Start on Bar 264 (2025-05-16 18:00:00+00:00) by Rule C; ⏳D Pending Downtrend Start on Bar 264 (2025-05-16 18:00:00+00:00) (by Rule C: HH & Down Close)
265,Info: prev_bar 264 (H:5977.75) not set as PDS. Existing PDS is 264 (H:5977.75). prev_bar.h is not > existing PDS.H.
266,Info: prev_bar 265 (H:5948.0) not set as PDS. Existing PDS is 264 (H:5977.75). prev_bar.h is not > existing PDS.H.
267,Info: prev_bar 266 (H:5934.75) not set as PDS. Existing PDS is 264 (H:5977.75). prev_bar.h is not > existing PDS.H.
268,DEBUG: Confirmed CDS at Bar 264; DEBUG: Confirmed CUS at Bar 260; DEBUG: New CONFIRMED CONTAINMENT established by CDS 264 (H:5977.75) and prior CUS 260 (L:5925.0). Active: True; DEBUG: New CONFIRMED CONTAINMENT established by CUS 260 (L:5925.0) and prior CDS 258 (H:5941.5). Active: True; ⏳U Pending Uptrend Start on Bar 267 (2025-05-19 06:00:00+00:00) (general PUS rule on prev_bar); 📈 Confirmed Uptrend Start from Bar 260 (2025-05-16 02:00:00+00:00) (Rule: LowUndercutHighRespect); 📉 Confirmed Downtrend Start from Bar 264 (2025-05-16 18:00:00+00:00) (Rule: A)
269,➖ Neutral
